,Description,Name,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
34601,Region,Africa,2000,,830582806.0,,30.897,0.037,930.851,30.972,3.442,2233.234,50.483,2.313,2.693,1.029,0.684,1.122,0.429,0.285,370.01,0.446,733.342,0.884,0.338,688.209,24131.189,105126.68,11749.875,2105.333,1641.16,122360.305,7946.612,,3902.616,,103.38,0.125,114.348,0.138,2.156,4.458,1302.394,1.57,1253.283,1.509,332.879,0.401,312.215,0.376,,,3196.057,4.268,3.649,7.249,4.021,3.728,2.304,5.997,2.235,18.653,1.347,17.228,2.173,,29.786,2.407,24.586,3.04,,8.523,0.041,0.051,0.098,0.007,3702.621,1790.801,-197.509,-21.218
34602,Region,Africa,2001,,851690329.0,,32.412,0.038,920.602,-10.249,-1.101,2151.343,-81.891,-3.667,2.53,0.929,0.636,1.082,0.398,0.272,371.74,0.437,749.353,0.881,0.324,720.62,25051.789,107278.023,12121.614,2203.533,1761.286,123591.055,8244.736,,3943.533,,98.2,0.115,120.126,0.141,2.081,4.244,1230.752,1.447,1239.626,1.455,325.107,0.382,298.125,0.351,,,3310.455,4.28,3.581,7.06,4.016,3.75,2.335,6.015,2.265,18.959,1.391,17.285,2.192,,29.254,2.505,25.828,2.881,,8.577,0.042,0.052,0.101,0.007,3614.512,1772.403,-171.249,-18.602
34603,Region,Africa,2002,,873411364.0,,34.928,0.04,899.996,-20.606,-2.238,2369.119,217.776,10.123,2.716,0.957,0.69,1.032,0.364,0.262,360.666,0.414,740.585,0.849,0.299,755.549,25951.785,109647.141,12482.28,2286.031,1895.64,125060.195,8532.285,,3896.362,,82.498,0.095,134.355,0.154,1.945,4.218,1469.134,1.684,1210.495,1.386,338.112,0.387,287.549,0.33,,,3353.255,4.448,3.425,7.544,3.725,3.777,2.361,6.042,2.291,19.134,1.44,17.366,2.208,,25.413,2.721,28.649,2.783,,8.622,0.043,0.053,0.103,0.007,3683.872,1698.465,-159.411,-17.712
34604,Region,Africa,2003,,895734453.0,,35.273,0.039,989.645,89.649,9.961,2522.337,153.219,6.467,2.82,0.953,0.7,1.106,0.374,0.275,390.582,0.437,819.854,0.917,0.31,790.822,26941.43,112169.477,12872.862,2377.888,2041.422,126592.898,8858.436,,3984.036,,91.857,0.103,145.782,0.163,2.059,4.355,1532.704,1.714,1279.045,1.428,351.423,0.392,326.15,0.365,,,3515.312,4.085,3.577,7.475,3.713,3.79,2.391,6.068,2.318,19.345,1.493,17.432,2.231,,26.662,2.848,25.227,3.076,,8.673,0.044,0.054,0.105,0.007,3900.794,1844.123,-169.791,-17.157
34605,Region,Africa,2004,,918778450.0,,38.021,0.041,1045.726,56.081,5.667,2486.618,-35.72,-1.416,2.71,0.873,0.651,1.14,0.367,0.274,417.392,0.455,864.254,0.942,0.303,828.843,27987.156,114656.102,13290.255,2465.912,2194.11,128033.797,9208.035,,4171.859,,88.024,0.096,152.688,0.166,2.079,4.298,1440.903,1.57,1293.109,1.407,355.164,0.387,349.6,0.381,,,3774.621,4.212,3.652,7.306,3.839,3.807,2.422,6.09,2.347,19.517,1.545,17.5,2.257,,25.696,2.889,26.664,3.179,,8.721,0.045,0.055,0.107,0.007,3948.601,1909.689,-181.472,-17.354
34606,Region,Africa,2005,,942546623.0,,41.903,0.045,1059.372,13.647,1.305,2463.87,-22.748,-0.915,2.618,0.802,0.634,1.126,0.345,0.273,412.225,0.438,880.529,0.936,0.287,870.746,29046.527,117119.969,13702.479,2551.781,2377.623,129438.312,9543.898,,4079.625,,85.869,0.091,183.513,0.195,2.057,4.227,1404.509,1.492,1327.578,1.409,373.534,0.396,335.862,0.357,,,3785.477,4.328,3.577,7.141,3.57,3.83,2.451,6.109,2.372,19.656,1.613,17.574,2.277,,24.683,3.397,28.716,3.024,,8.769,0.046,0.056,0.11,0.008,3984.174,1938.4,-178.844,-16.882
34607,Region,Africa,2006,,966932346.0,,45.735,0.047,1091.176,31.803,3.002,2468.392,4.522,0.184,2.556,0.744,0.625,1.13,0.329,0.276,418.61,0.434,936.393,0.97,0.282,916.481,30137.705,119588.359,14121.09,2631.982,2553.87,130815.531,9914.281,,4054.019,,80.201,0.083,176.247,0.183,2.022,4.157,1377.227,1.426,1311.602,1.356,365.727,0.378,370.383,0.384,,,3858.375,4.332,3.563,6.864,3.433,3.852,2.479,6.123,2.394,19.745,1.67,17.634,2.304,,23.079,3.172,25.829,3.301,,8.807,0.047,0.057,0.112,0.008,4019.547,1955.465,-154.782,-14.185
34608,Region,Africa,2007,,992055831.0,,49.202,0.05,1116.9,25.724,2.357,2523.45,55.057,2.231,2.547,0.7,0.622,1.127,0.31,0.275,429.852,0.434,969.982,0.979,0.269,965.683,31254.604,122111.812,14550.941,2702.923,2744.032,132222.094,10291.026,,4102.967,,70.941,0.072,190.162,0.192,1.983,4.12,1406.56,1.42,1320.087,1.331,381.214,0.384,376.744,0.38,,,4006.39,4.339,3.542,6.985,3.362,3.874,2.506,6.139,2.414,19.768,1.729,17.714,2.33,,20.667,3.301,30.613,3.348,,8.844,0.048,0.058,0.114,0.008,4086.928,1966.984,-146.919,-13.154
34609,Region,Africa,2008,,1018065513.0,,51.817,0.051,1174.755,57.855,5.18,2998.069,474.62,18.808,2.949,0.769,0.689,1.156,0.301,0.27,455.481,0.448,1023.797,1.007,0.263,1017.5,32429.359,125109.875,15006.423,2773.951,2936.816,134045.422,10694.67,,4237.09,,71.028,0.07,192.784,0.19,2.005,4.336,1823.325,1.793,1350.788,1.327,390.552,0.384,403.645,0.397,,,4245.486,4.51,3.663,8.113,3.45,3.902,2.535,6.175,2.437,19.803,1.784,17.841,2.362,,21.22,3.253,37.361,3.603,,8.891,0.05,0.059,0.117,0.008,4414.531,2041.451,-150.958,-12.85
34610,Region,Africa,2009,,1044777740.0,,58.049,0.056,1168.25,-6.505,-0.554,3184.491,186.422,6.218,3.052,0.771,0.735,1.12,0.283,0.27,425.296,0.408,1064.897,1.021,0.258,1075.548,33597.609,128294.367,15431.719,2840.425,3128.533,136061.672,11121.386,,4199.224,,66.474,0.064,191.717,0.184,1.934,4.31,2016.252,1.932,1331.524,1.274,386.525,0.37,426.715,0.409,,,4317.645,4.911,3.704,8.65,3.26,3.946,2.563,6.219,2.454,19.81,1.836,17.983,2.398,,20.119,3.315,38.23,3.895,,8.934,0.051,0.06,0.119,0.008,4502.975,2020.617,-103.353,-8.847
